# (movieID, directorID)
(1,4),
(2,2),
(3,3),
(4,12),
(5,5),
(6,6),
(6,7),
(7,8),
(8,9),
(9,10),
(9,11),
(10,10),
(10,11),
(11,13),
(12,8),
(13,8),
(14,1),
(15,18), 
(16,17), 
(17,16), 
(18,15), 
(19,14),
(20, 15),
(21, 19), 
(22, 20),
(23, 21),
(24, 22),
(25, 23),
(26, 24),
(27, 25),
(28, 26),
(29, 27);

#movieID, actorID
INSERT INTO stars VALUES
(1,9),
(1,1),
(2,4),
(2,5),
(3,6),
(4,7),
(5,31),
(5,32), 
(5,33),
(6,8),
(6,9),
(6,10),
(7,10),
(7,14),
(7,15),
(8,25),
(8,28),
(8,29),
(8,30),
(9,20),
(9,21),
(9,22),
(9,23),
(9,24),
(9,25),
(9,26),
(9,27),
(10,20),
(10,21),
(10,23),
(10,24),
(10,25),
(10,27),
(11,18),
(11,19),
(12,34),
(12,35),
(12,36),
(13,2),
(13,3),
(13,22),
(14,37),
(14,38),
(15,24),
(15,39),
(16,44),
(16,45),
(16,46),
(17,40),
(17,41),
(18,42),
(18,43),
(19,41),
(20, 42),
(20, 47),
(20, 48),
(20, 49),
(21, 49),
(21, 50),
(22, 51),
(22, 52),
(22, 53),
(23, 54),
(23, 55),
(23, 56),
(24, 49),
(24, 57),
(24, 58),
(24, 59),
(25, 49),
(25, 60),
(25, 61),
(26, 27),
(26, 61),
(26, 62),
(27, 9),
(28, 63),
(28, 64),
(28, 65),
(29, 66),
(29, 67),
(29, 68); 
